date,open,high,low,close,volume
2024-08-16,223.92,226.8271,223.6501,226.05,44340240
2024-08-15,224.6,225.35,222.76,224.72,46414013
2024-08-14,220.57,223.03,219.7,221.72,41960574
2024-08-13,219.01,221.89,219.01,221.27,44155331
2024-08-12,216.07,219.5099,215.6,217.53,38028092
2024-08-09,212.1,216.78,211.97,216.24,42201646
2024-08-08,213.11,214.2,208.83,213.31,47161149
2024-08-07,206.9,213.64,206.39,209.82,63516417
2024-08-06,205.3,209.99,201.07,207.23,69660488
2024-08-05,199.09,213.5,196.0,209.27,119548589
2024-08-02,219.15,225.6,217.71,219.86,105568560
2024-08-01,224.37,224.48,217.02,218.36,62500996
2024-07-31,221.44,223.82,220.63,222.08,50036262
2024-07-30,219.19,220.325,216.12,218.8,41643840
2024-07-29,216.96,219.3,215.75,218.24,36311778
2024-07-26,218.7,219.49,216.01,217.96,41601345
2024-07-25,218.93,220.85,214.62,217.49,51391199
2024-07-24,224.0,224.8,217.13,218.54,61777576
2024-07-23,224.365,226.94,222.68,225.01,39960260
2024-07-22,227.01,227.78,223.09,223.96,48201835
2024-07-19,224.82,226.8,223.275,224.31,49151453
2024-07-18,230.28,230.44,222.27,224.18,66034585
2024-07-17,229.45,231.4599,226.64,228.88,57345884
2024-07-16,235.0,236.27,232.33,234.82,43234278
2024-07-15,236.48,237.23,233.09,234.4,62631252
2024-07-12,228.92,232.64,228.68,230.54,53046527
2024-07-11,231.39,232.39,225.77,227.57,64710617
2024-07-10,229.3,233.08,229.25,232.98,62627687
2024-07-09,227.93,229.4,226.3721,228.68,48169822
2024-07-08,227.09,227.85,223.25,227.82,59085861
2024-07-05,221.65,226.45,221.65,226.34,60412408
2024-07-03,220.0,221.55,219.03,221.55,37369801
2024-07-02,216.15,220.38,215.1,220.27,58046178
2024-07-01,212.09,217.51,211.92,216.75,60402929
2024-06-28,215.77,216.07,210.3,210.62,82542718
2024-06-27,214.69,215.7395,212.35,214.1,49772707
2024-06-26,211.5,214.86,210.64,213.25,66213186
2024-06-25,209.15,211.38,208.61,209.07,56713868
2024-06-24,207.72,212.7,206.59,208.14,80727006
2024-06-21,210.39,211.89,207.11,207.49,246421353
2024-06-20,213.93,214.24,208.85,209.68,86172451
2024-06-18,217.59,218.63,213.0,214.29,79943254
2024-06-17,213.37,218.95,212.72,216.67,93728300
2024-06-14,213.85,215.17,211.3,212.49,70122748
2024-06-13,214.74,216.75,211.6,214.24,97862729
2024-06-12,207.37,220.2,206.9,213.07,198134293
2024-06-11,193.65,207.16,193.63,207.15,172373296
2024-06-10,196.9,197.3,192.15,193.12,97262077
2024-06-07,194.65,196.94,194.14,196.89,53103912
2024-06-06,195.685,196.5,194.17,194.48,41181753
2024-06-05,195.4,196.9,194.87,195.87,54156785
2024-06-04,194.635,195.32,193.0342,194.35,47471445
2024-06-03,192.9,194.99,192.52,194.03,50080539
2024-05-31,191.44,192.57,189.91,192.25,75158277
2024-05-30,190.76,192.18,190.63,191.29,49947941
2024-05-29,189.61,192.247,189.51,190.29,53068016
2024-05-28,191.51,193.0,189.1,189.99,52280051
2024-05-24,188.82,190.58,188.0404,189.98,36326975
2024-05-23,190.98,191.0,186.625,186.88,51005924
2024-05-22,192.265,192.8231,190.27,190.9,34648547
2024-05-21,191.09,192.73,190.9201,192.35,42309401
2024-05-20,189.325,191.9199,189.01,191.04,44361275
